cvap.column	race.column
Total	Total
Not Hispanic or Latino	Non.Hispanic
American Indian or Alaska Native Alone	Native.American
Asian Alone	Asian
Black or African American Alone	Black
Native Hawaiian or Other Pacific Islander Alone	Asian
White Alone	White
American Indian or Alaska Native and White	Native.American
Asian and White	Two.Or.More
Black or African American and White	Two.Or.More
American Indian or Alaska Native and Black or African American	Native.American
Remainder of Two or More Race Responses	Two.Or.More
Hispanic or Latino	Hispanic
