source	party
--	OTH
3RD	OTH
A	OTH
AA	OTH
ABO	OTH
ABP	OTH
AC	OTH
ACN	OTH
ACO	OTH
ACP	OTH
AD	OTH
AE	OTH
AEL	OTH
AF	OTH
AFP	OTH
AFS	OTH
AH	OTH
AI	OTH
AIP	OTH
AL	OTH
ALT	OTH
AM	OTH
AMC	OTH
AME	OTH
AMF	OTH
AMI	OTH
AN	OTH
ANA	OTH
ANF	OTH
ANY	OTH
AO	OTH
AP	OTH
APP	OTH
ARI	OTH
ASM	OTH
ASP	OTH
AT	OTH
ATH	OTH
ATP	OTH
AYE	OTH
AZN	OTH
B	OTH
BA	OTH
BB	OTH
BIP	OTH
BLK	NPA
BLP	OTH
BM	OTH
BMP	OTH
BO	OTH
BOP	OTH
BP	OTH
BTH	OTH
BUL	OTH
C	OTH
CA	OTH
CB	OTH
CC	OTH
CD	OTH
CDU	OTH
CF	OTH
CH	OTH
CHA	OTH
CHN	OTH
CHR	OTH
CHY	OTH
CL	OTH
CLI	OTH
CLL	OTH
CLP	OTH
CM	OTH
CMP	OTH
CMR	OTH
CN	OTH
CNC	OTH
CNT	OTH
CNV	OTH
CO	OTH
COD	OTH
COI	OTH
COL	OTH
COM	OTH
CON	OTH
CP	OTH
CPC	OTH
CPF	OTH
CPP	OTH
CR	OTH
CRT	OTH
CS	OTH
CST	OTH
CT	OTH
CTL	OTH
CTP	OTH
CTT	OTH
D	DEM
DD	OTH
DEC	OTH
DEM	DEM
DEP	OTH
DIP	OTH
DNA	OTH
DNV	OTH
DP	OTH
DPP	OTH
DR	OTH
DS	OTH
DSA	OTH
DST	OTH
DTP	OTH
DTS	OTH
E	OTH
ECO	OTH
EGA	OTH
ENP	OTH
ETP	OTH
EX	OTH
EXL	OTH
F	OTH
FA	OTH
FAC	OTH
FCW	OTH
FD	OTH
FDM	OTH
FE	OTH
FED	OTH
FM	OTH
FP	OTH
FR	OTH
FRA	OTH
FRE	OTH
FSW	OTH
FT	OTH
FTP	OTH
G	GRE
GAD	OTH
GD	OTH
GDI	OTH
GDM	OTH
GEN	OTH
GM	OTH
GN	OTH
GO	OTH
GR	GRE
GRD	OTH
GRE	GRE
GRN	GRE
GRR	OTH
GS	OTH
GSP	OTH
GSR	OTH
GW	OTH
H	OTH
HI	OTH
HPC	OTH
HRP	OTH
HUM	OTH
HUP	OTH
I	IND
IA	OTH
IC	OTH
ICO	OTH
ID	OTH
IDK	OTH
IDP	OTH
IDR	OTH
IFM	OTH
IG	OTH
ILM	OTH
IM	OTH
IN	OTH
IND	IND
INT	IND
IP	OTH
IR	OTH
IS	OTH
IT	OTH
ITM	OTH
IV	OTH
J	OTH
JBP	OTH
JD	OTH
JP	OTH
JPF	OTH
K	OTH
KNP	OTH
KOG	OTH
L	LIB
LAB	OTH
LAT	OTH
LBR	LIB
LBT	LIB
LD	OTH
LI	OTH
LIB	LIB
LN	LIB
LPF	LIB
LR	OTH
LRU	OTH
M	OTH
MA	OTH
MAN	OTH
MCP	OTH
MI	OTH
MIG	OTH
MIP	OTH
MIS	OTH
ML	OTH
MM	OTH
MMW	OTH
MNT	OTH
MOD	OTH
MRP	OTH
MU	OTH
MW	OTH
MX	OTH
MYP	OTH
N	NPA
NA	OTH
NAP	OTH
NAT	OTH
NAV	NPA
NC	OTH
NCP	OTH
NE	OTH
NEN	OTH
NEO	OTH
NEW	OTH
NF	OTH
NL	OTH
NLP	OTH
NMB	OTH
NO	OTH
NON	OTH
NOP	NPA
NOT	OTH
NOV	OTH
NP	UNK
NPA	NPA
NPA	OTH
NPF	OTH
NPP	NPA
NPP	OTH
NRP	OTH
NS	OTH
NSP	OTH
NST	OTH
NT	OTH
NTS	OTH
NU	OTH
NW	OTH
NZ	OTH
O	OTH
OAI	OTH
OAL	OTH
OAM	OTH
OAN	OTH
OAS	OTH
OBA	OTH
OBM	OTH
OCH	OTH
OCN	OTH
OCO	OTH
OCS	OTH
OFR	OTH
OID	OTH
OIN	IND
OLS	OTH
ONL	OTH
ONP	OTH
OP	OTH
OPE	OTH
ORE	OTH
ORL	OTH
OSC	OTH
OSD	OTH
OTH	OTH
OTP	OTH
OTX	OTH
OWH	OTH
OWO	OTH
OWW	OTH
P	OTH
PAF	OTH
P&F	OTH
P2	OTH
PA	OTH
PAL	OTH
PAS	OTH
PBP	OTH
PER	OTH
PF	OTH
PFA	OTH
PFP	OTH
PGP	GRE
PH	OTH
PIR	OTH
PJ	OTH
PL	OTH
PND	NPA
PNT	OTH
PO	OTH
POL	OTH
POP	OTH
POT	OTH
PP	OTH
PPC	OTH
PPD	OTH
PPP	OTH
PR	OTH
PRE	OTH
PRG	OTH
PRI	OTH
PRO	OTH
PS	OTH
PSL	OTH
PSS	OTH
PUR	OTH
PVT	OTH
PZ	OTH
Q	OTH
R	REP
RA	OTH
RAD	OTH
RAM	OTH
RB	OTH
RD	OTH
RE	OTH
REF	OTH
REP	REP
RF	OTH
RFM	OTH
RFP	OTH
RGN	OTH
RL	OTH
RO	OTH
RP	OTH
RPA	OTH
RTH	OTH
RTL	OTH
RVA	OTH
RVL	OTH
S	OTH
SAP	OTH
SD	OTH
SEC	OTH
SEN	OTH
SEQ	OTH
SEU	OTH
SFC	OTH
SGP	OTH
SHU	OTH
SL	OTH
SM	OTH
SOA	OTH
SOC	OTH
SOD	OTH
SP	OTH
SPL	OTH
SPP	OTH
SPU	OTH
SQ	OTH
SR	OTH
SSP	OTH
SSU	OTH
SW	OTH
SWC	OTH
SWP	OTH
T	OTH
TEA	OTH
TFP	OTH
TGP	OTH
THP	OTH
TOR	OTH
TP	OTH
TPC	OTH
TPF	OTH
TPP	OTH
TVP	OTH
TXP	OTH
TX	OTH
U	UNK
UAF	UNK
UCB	OTH
UCE	OTH
UCS	OTH
UDC	OTH
UI	OTH
UIT	OTH
UL	OTH
UMP	OTH
UNA	UNK
UNC	OTH
UND	NPA
UNI	OTH
UNK	UNK
UP	OTH
UPP	OTH
USA	OTH
USC	OTH
UT	OTH
UTA	OTH
UW	OTH
UWS	OTH
V	OTH
VP	OTH
VPA	OTH
W	OTH
WEP	OTH
WFP	OTH
WH	OTH
WI	OTH
WIG	OTH
WIL	OTH
WIO	OTH
WN	OTH
WOR	OTH
WP	OTH
WPP	OTH
WTP	OTH
WWP	OTH
X	OTH
Y	OTH
YO	OTH
Z	OTH
N/A	NPA
0TH	OTH
CIT	OTH
DFL	DEM
CRV	OTH
